team,player_id,strategy,punts,risk
1,duranke01,baseline,,0.1
1,townska01,baseline,,0.1
1,banede01,baseline,,0.1
1,randlju01,baseline,,0.1
1,maxeyty01,baseline,,0.1
1,butleji01,baseline,,0.1
1,markkla01,baseline,,0.1
1,wagnefr01,baseline,,0.1
1,cowarce01,baseline,,0.1
1,marshna01,baseline,,0.1
1,oubreke01,baseline,,0.1
1,grimequ01,baseline,,0.1
1,nesmiaa01,baseline,,0.1
2,wembavi01,blocks_heavy,,0.1
2,barnesc01,blocks_heavy,,0.1
2,flaggco01,blocks_heavy,,0.1
2,derozde01,blocks_heavy,,0.1
2,alexani01,blocks_heavy,,0.1
2,whitede01,blocks_heavy,,0.1
2,edgecvj01,blocks_heavy,,0.1
2,cartewe01,blocks_heavy,,0.1
2,wallaca01,blocks_heavy,,0.1
2,embiijo01,blocks_heavy,,0.1
2,horfoal01,blocks_heavy,,0.1
2,murrake01,blocks_heavy,,0.1
2,fearsje01,blocks_heavy,,0.1
3,halibty01,guard,"BLK,REB",0.1
3,brunsja01,guard,"BLK,REB",0.1
3,irvinky01,guard,"BLK,REB",0.1
3,reaveau01,guard,"BLK,REB",0.1
3,bookede01,guard,"BLK,REB",0.1
3,garlada01,guard,"BLK,REB",0.1
3,pritcpa01,guard,"BLK,REB",0.1
3,sextoco01,guard,"BLK,REB",0.1
3,powelno01,guard,"BLK,REB",0.1
3,herroty01,guard,"BLK,REB",0.1
3,jonestr01,guard,"BLK,REB",0.1
3,nembhan01,guard,"BLK,REB",0.1
3,kennalu01,guard,"BLK,REB",0.1
4,adebaba01,big,"AST,FG3M",0.1
4,okongon01,big,"AST,FG3M",0.1
4,davisan02,big,"AST,FG3M",0.1
4,jacksja01,big,"AST,FG3M",0.1
4,queende01,big,"AST,FG3M",0.1
4,holmgch01,big,"AST,FG3M",0.1
4,kornelu01,big,"AST,FG3M",0.1
4,collijo01,big,"AST,FG3M",0.1
4,raynama01,big,"AST,FG3M",0.1
4,willima07,big,"AST,FG3M",0.1
4,allenja01,big,"AST,FG3M",0.1
4,durenja01,big,"AST,FG3M",0.1
4,valanjo01,big,"AST,FG3M",0.1
5,gilgesh01,baseline,FT,0.1
5,siakapa01,baseline,FT,0.1
5,brownja01,baseline,FT,0.1
5,reidna01,baseline,FT,0.1
5,hartjo01,baseline,FT,0.1
5,thompam01,baseline,FT,0.1
5,wiggian01,baseline,FT,0.1
5,aldamsa01,baseline,FT,0.1
5,camarto01,baseline,FT,0.1
5,kuzmaky01,baseline,FT,0.1
5,barrerj01,baseline,FT,0.1
5,washipj01,baseline,FT,0.1
5,mamuksa01,baseline,FT,0.1
6,doncilu01,baseline,TOV,0.1
6,mitchdo01,baseline,TOV,0.1
6,avdijde01,baseline,TOV,0.1
6,cunnica01,baseline,TOV,0.1
6,giddejo01,baseline,TOV,0.1
6,ingrabr01,baseline,TOV,0.1
6,banchpa01,baseline,TOV,0.1
6,porteke01,baseline,TOV,0.1
6,johnske04,baseline,TOV,0.1
6,hardeja01,baseline,TOV,0.1
6,tatumja01,baseline,TOV,0.1
6,lillada01,baseline,TOV,0.1
6,willibr01,baseline,TOV,0.1
7,bridgmi01,guard,FT,0.1
7,jamesle01,guard,FT,0.1
7,foxde01,guard,FT,0.1
7,portemi01,guard,FT,0.1
7,curryst01,guard,FT,0.1
7,filipky01,guard,FT,0.1
7,dosunay01,guard,FT,0.1
7,mccolcj01,guard,FT,0.1
7,podzibr01,guard,FT,0.1
7,castlst01,guard,FT,0.1
7,harpedy01,guard,FT,0.1
7,huertke01,guard,FT,0.1
7,dunnkr01,guard,FT,0.1
8,jokicni01,big,FT,0.1
8,vucevni01,big,FT,0.1
8,sengual01,big,FT,0.1
8,mobleev01,big,FT,0.1
8,turnemy01,big,FT,0.1
8,wareke01,big,FT,0.1
8,clingdo01,big,FT,0.1
8,daniedy01,big,FT,0.1
8,antetgi01,big,FT,0.1
8,thompau01,big,FT,0.1
8,nurkiju01,big,FT,0.1
8,jonesde01,big,FT,0.1
8,watsope01,big,FT,0.1
9,johnsja05,baseline,PTS,0.1
9,murraja01,baseline,PTS,0.1
9,harrito01,baseline,PTS,0.1
9,murphtr01,baseline,PTS,0.1
9,lopezbr01,baseline,PTS,0.1
9,holidjr01,baseline,PTS,0.1
9,johnske01,baseline,PTS,0.1
9,porzikr01,baseline,PTS,0.1
9,braunch01,baseline,PTS,0.1
9,johnsca01,baseline,PTS,0.1
9,greenja01,baseline,PTS,0.1
9,rolliry01,baseline,PTS,0.1
9,brownbr01,baseline,PTS,0.1
10,edwaran01,baseline,,0.28
10,leonaka01,baseline,,0.28
10,anunoog01,baseline,,0.28
10,knuepko01,baseline,,0.28
10,willija06,baseline,,0.28
10,buzelma01,baseline,,0.28
10,barneha01,baseline,,0.28
10,jaqueja01,baseline,,0.28
10,vassede01,baseline,,0.28
10,portibo01,baseline,,0.28
10,georgpa01,baseline,,0.28
10,wiggiaa01,baseline,,0.28
10,toppiob01,baseline,,0.28
